"week","rank_away","rank_home","game_type","neutral","spread","home_win","home_season","average_spread","average_fumbles","average_q1_points","average_q2_points","average_q3_points","average_q4_points","average_first_downs","average_run_pass_ratio","average_rush_yard_to_total_yards","average_time_of_possession","average_interceptions","average_number_of_penalties","average_penalty_yards","average_third_down_completion_rate","average_pass_completion_rate"
12,26,1,"regular","False",60,"Win","Alabama_2020",39.333333333333336,0.3333333333333333,10.333333333333334,14.666666666666666,11.666666666666666,11.666666666666666,29.333333333333332,1.3512043512043512,0.3738266079177263,32.25333333333333,0.6666666666666666,6.666666666666667,48.0,0.5468975468975469,0.7156177156177156
13,22,1,"regular","False",29,"Win","Alabama_2020",43.333333333333336,0.6666666666666666,10.333333333333334,15.0,11.666666666666666,11.666666666666666,25.0,1.2630147630147632,0.3940632801625266,28.76,0.3333333333333333,6.0,43.666666666666664,0.565079365079365,0.7039627039627039
17,4,1,"post","True",17,"Win","Alabama_2020",35.333333333333336,0.3333333333333333,9.333333333333334,14.0,14.0,8.0,24.333333333333332,1.136752136752137,0.3619074352920076,26.953333333333333,0.3333333333333333,4.666666666666667,39.666666666666664,0.6222222222222222,0.7393162393162394
17,3,1,"post","True",28,"Win","Alabama_2020",24.666666666666668,0.6666666666666666,9.333333333333334,16.333333333333332,10.333333333333334,5.666666666666667,25.666666666666668,0.9054131054131055,0.2981774942521949,29.070000000000004,0.0,5.333333333333333,44.333333333333336,0.5818181818181818,0.7752136752136751
2,26,1,"regular","False",34,"Win","Alabama_2021",34.0,0.0,14.0,17.0,14.0,3.0,24.0,1.096774193548387,0.37264150943396224,29.85,0.0,9.0,95.0,0.38461538461538464,0.6451612903225806
4,26,1,"regular","False",49,"Win","Alabama_2021",49.0,0.0,21.0,21.0,7.0,14.0,22.0,1.2692307692307692,0.3481848184818482,28.7,1.0,7.0,62.0,0.6,0.8846153846153846
5,12,1,"regular","False",21,"Win","Alabama_2021",34.666666666666664,0.0,14.0,19.666666666666668,9.333333333333334,8.0,24.333333333333332,1.4296939619520266,0.3954860856541245,32.17666666666667,0.6666666666666666,7.0,69.66666666666667,0.4820512820512821,0.7663358147229115
8,26,4,"regular","False",28,"Win","Alabama_2021",32.666666666666664,0.3333333333333333,11.666666666666666,18.666666666666668,5.666666666666667,16.333333333333332,27.333333333333332,1.4439475253428744,0.3891584280379257,35.703333333333326,0.6666666666666666,5.333333333333333,48.0,0.6038461538461538,0.791592128801431
10,26,2,"regular","False",6,"Win","Alabama_2021",18.333333333333332,0.6666666666666666,4.666666666666667,16.333333333333332,5.333333333333333,11.666666666666666,25.333333333333332,1.2551048365001853,0.27959032837081615,35.71333333333333,0.3333333333333333,6.0,48.666666666666664,0.5064102564102565,0.7129365501458524
11,26,2,"regular","False",56,"Win","Alabama_2021",30.0,1.0,7.0,21.0,3.0,12.666666666666666,26.333333333333332,0.9834485648439136,0.2646409005739209,33.236666666666665,0.0,5.666666666666667,43.666666666666664,0.5747863247863249,0.7267965640058663
12,21,2,"regular","False",7,"Win","Alabama_2021",23.0,1.0,5.666666666666667,23.333333333333332,5.333333333333333,6.0,25.0,0.9036036036036036,0.20239307243245022,29.926666666666666,0.0,6.0,48.666666666666664,0.5066045066045066,0.7448198198198198
14,1,3,"regular","True",17,"Win","Alabama_2021",26.666666666666668,0.6666666666666666,5.666666666666667,26.666666666666668,5.666666666666667,9.333333333333334,28.0,0.8663390663390663,0.26741697887426713,28.94333333333333,0.0,5.333333333333333,55.666666666666664,0.5707070707070706,0.7255733005733006
17,4,1,"post","True",21,"Win","Alabama_2021",15.0,0.3333333333333333,3.3333333333333335,18.333333333333332,5.666666666666667,9.333333333333334,27.0,1.0564935064935066,0.335316206255918,29.986666666666668,0.3333333333333333,6.0,55.333333333333336,0.47668997668997665,0.6576839826839826
17,3,1,"post","True",-15,"Loss","Alabama_2021",7.666666666666667,0.0,3.3333333333333335,13.333333333333334,2.3333333333333335,9.666666666666666,24.666666666666668,0.920236196551986,0.30474051217720405,30.330000000000002,1.0,6.333333333333333,54.333333333333336,0.44487179487179485,0.6040290119237488
1,26,1,"regular","False",55,"Win","Alabama_2022",55.0,0.0,17.0,24.0,14.0,0.0,30.0,0.8,0.49731663685152055,31.85,1.0,6.0,40.0,0.6,0.675
3,26,2,"regular","False",56,"Win","Alabama_2022",56.0,0.0,28.0,7.0,14.0,14.0,23.0,1.95,0.5363457760314342,23.62,2.0,6.0,60.0,0.16666666666666666,0.65
4,26,2,"regular","False",52,"Win","Alabama_2022",54.333333333333336,0.3333333333333333,19.666666666666668,16.0,12.666666666666666,9.333333333333334,29.0,1.180232558139535,0.46557324590790633,29.25,1.0,6.0,51.666666666666664,0.45,0.6742248062015505
6,26,1,"regular","False",4,"Win","Alabama_2022",37.333333333333336,1.3333333333333333,14.0,13.666666666666666,10.333333333333334,9.333333333333334,27.0,1.8083027335781312,0.5399353745140746,28.610000000000003,1.0,6.0,62.666666666666664,0.36904761904761907,0.659751121991024
8,24,6,"regular","False",24,"Win","Alabama_2022",26.666666666666668,1.3333333333333333,7.0,17.0,5.666666666666667,6.666666666666667,26.333333333333332,1.4015459768213745,0.39448678250359653,30.576666666666668,0.3333333333333333,5.0,49.333333333333336,0.47035480859010265,0.6412826535225556
12,26,8,"regular","False",34,"Win","Alabama_2022",20.666666666666668,1.6666666666666667,4.666666666666667,14.666666666666666,5.666666666666667,4.333333333333333,24.0,1.6379800853485065,0.4398180853555365,31.709999999999997,0.6666666666666666,4.333333333333333,41.0,0.4147992530345472,0.6531689584321163
13,26,7,"regular","False",22,"Win","Alabama_2022",26.666666666666668,0.6666666666666666,9.333333333333334,16.0,5.666666666666667,6.666666666666667,24.666666666666668,1.121021021021021,0.3114408504086806,31.343333333333334,0.6666666666666666,6.0,50.666666666666664,0.5179738562091503,0.6648648648648648
1,26,4,"regular","False",49,"Win","Alabama_2023",49.0,0.0,14.0,14.0,14.0,14.0,23.0,1.6666666666666667,0.4756380510440835,29.05,0.0,2.0,19.0,0.7692307692307693,0.7083333333333334
2,11,3,"regular","False",-10,"Loss","Alabama_2023",-10.0,0.0,0.0,6.0,10.0,8.0,18.0,1.2962962962962963,0.2955801104972376,27.48,2.0,10.0,90.0,0.35714285714285715,0.5185185185185185
4,15,13,"regular","False",14,"Win","Alabama_2023",17.666666666666668,0.0,5.666666666666667,7.666666666666667,11.666666666666666,9.666666666666666,20.333333333333332,1.7019400352733687,0.37973189654373624,30.30333333333333,1.0,6.0,56.333333333333336,0.5293040293040293,0.6787918871252204
7,26,11,"regular","False",3,"Win","Alabama_2023",2.3333333333333335,0.0,3.3333333333333335,7.666666666666667,8.0,5.0,18.666666666666668,1.8130511463844796,0.3633545542278369,30.560000000000002,1.0,7.0,65.0,0.4157509157509158,0.6014109347442681
8,17,11,"regular","False",14,"Win","Alabama_2023",10.333333333333334,0.3333333333333333,3.3333333333333335,8.0,10.333333333333334,5.666666666666667,19.333333333333332,2.0476190476190474,0.3933194708404895,32.17333333333334,0.6666666666666666,4.0,36.666666666666664,0.4249084249084249,0.6507936507936507
10,14,8,"regular","False",14,"Win","Alabama_2023",10.333333333333334,0.3333333333333333,7.0,9.333333333333334,11.333333333333334,5.666666666666667,22.0,2.0,0.46000940723656253,31.896666666666665,0.3333333333333333,4.0,33.333333333333336,0.532967032967033,0.598343685300207
12,26,8,"regular","False",56,"Win","Alabama_2023",28.0,0.3333333333333333,11.666666666666666,10.333333333333334,15.0,10.333333333333334,23.0,1.7916666666666667,0.5007675618060601,30.783333333333335,0.3333333333333333,3.3333333333333335,26.666666666666668,0.6123321123321124,0.7035024154589372
14,1,8,"regular","True",3,"Win","Alabama_2023",24.333333333333332,0.0,12.666666666666666,12.666666666666666,10.333333333333334,9.333333333333334,23.0,1.7192028985507246,0.4964589482302759,30.393333333333334,0.0,4.0,37.0,0.561050061050061,0.6696859903381642
1,26,5,"regular","False",63,"Win","Alabama_2024",63.0,1.0,21.0,21.0,14.0,7.0,25.0,2.611111111111111,0.5566666666666666,30.58,0.0,7.0,59.0,0.6153846153846154,0.6666666666666666
2,26,4,"regular","False",26,"Win","Alabama_2024",26.0,3.0,7.0,7.0,0.0,28.0,20.0,1.6153846153846154,0.5063613231552163,31.07,0.0,13.0,120.0,0.38461538461538464,0.6153846153846154
5,2,4,"regular","False",7,"Win","Alabama_2024",32.0,1.3333333333333333,16.333333333333332,12.333333333333334,5.666666666666667,14.333333333333334,22.0,1.711862211862212,0.46142070320136575,31.406666666666666,0.3333333333333333,10.0,89.66666666666667,0.42424242424242425,0.7000777000777001
7,26,7,"regular","False",2,"Win","Alabama_2024",11.666666666666666,1.0,11.666666666666666,7.666666666666667,1.0,16.333333333333332,20.333333333333332,1.392216479173001,0.3866212711814864,30.64,1.0,10.0,92.33333333333333,0.3706293706293706,0.7097395358264924
9,21,15,"regular","False",34,"Win","Alabama_2024",14.333333333333334,0.0,10.333333333333334,8.666666666666666,5.666666666666667,9.333333333333334,21.0,1.3281139150704366,0.4037052197045076,30.276666666666667,1.0,8.0,80.66666666666667,0.3164983164983165,0.7097395358264924
12,26,10,"regular","False",45,"Win","Alabama_2024",27.0,0.0,8.0,11.333333333333334,7.0,11.333333333333334,23.666666666666668,1.4250836120401338,0.42064292780859897,30.686666666666667,0.6666666666666666,6.666666666666667,70.66666666666667,0.4033670033670034,0.6560598821468386
14,26,13,"regular","False",14,"Win","Alabama_2024",31.0,1.0,8.0,11.333333333333334,11.666666666666666,7.0,25.333333333333332,1.6243589743589741,0.4564951193713909,33.45333333333333,0.3333333333333333,6.333333333333333,70.33333333333333,0.47407407407407404,0.6741758241758241
2,26,26,"regular","False",66,"Win","Arkansas_2014",66.0,0.0,35.0,21.0,7.0,10.0,26.0,2.857142857142857,0.7236842105263158,25.85,1.0,7.0,69.0,0.5,0.5714285714285714
4,26,26,"regular","False",38,"Win","Arkansas_2014",38.0,0.0,21.0,7.0,7.0,17.0,24.0,1.9565217391304348,0.4964871194379391,34.63,0.0,4.0,30.0,0.7142857142857143,0.6956521739130435
7,7,26,"regular","False",-1,"Loss","Arkansas_2014",34.333333333333336,0.6666666666666666,18.666666666666668,11.333333333333334,7.0,9.0,22.666666666666668,1.9295548654244306,0.4952809905850999,31.566666666666666,0.6666666666666666,5.0,42.333333333333336,0.5626566416040101,0.597360248447205
8,10,26,"regular","False",-13,"Loss","Arkansas_2014",8.0,1.3333333333333333,9.0,4.333333333333333,9.0,10.0,23.666666666666668,1.2512479871175524,0.35357898676037225,34.583333333333336,1.0,5.0,45.666666666666664,0.5737677527151211,0.6142914653784218
9,26,26,"regular","False",28,"Win","Arkansas_2014",4.666666666666667,1.6666666666666667,6.666666666666667,9.0,10.0,4.333333333333333,23.666666666666668,1.1888176638176637,0.37609980920667896,35.03,1.0,4.333333333333333,38.666666666666664,0.4895186684660369,0.5875356125356125
12,17,26,"regular","False",17,"Win","Arkansas_2014",10.666666666666666,1.0,7.666666666666667,9.333333333333334,7.666666666666667,6.666666666666667,23.333333333333332,1.3329534662867994,0.40749209022582566,34.25666666666667,0.6666666666666666,4.333333333333333,43.666666666666664,0.5277023629964807,0.6100664767331434
13,8,26,"regular","False",30,"Win","Arkansas_2014",25.0,0.6666666666666666,11.333333333333334,9.333333333333334,6.666666666666667,3.3333333333333335,19.333333333333332,2.0392715490754707,0.4783840303059829,33.96333333333334,0.0,4.0,32.0,0.43881347410759175,0.5595218144237752
1,26,18,"regular","False",35,"Win","Arkansas_2015",35.0,0.0,14.0,14.0,17.0,3.0,18.0,1.7,0.37142857142857144,29.32,0.0,6.0,68.0,0.45454545454545453,0.7
2,26,18,"regular","False",-4,"Loss","Arkansas_2015",-4.0,0.0,0.0,7.0,0.0,5.0,30.0,0.5849056603773585,0.2,37.92,1.0,9.0,85.0,0.38461538461538464,0.6037735849056604
3,26,26,"regular","False",-11,"Loss","Arkansas_2015",6.666666666666667,0.3333333333333333,7.0,11.666666666666666,6.666666666666667,2.6666666666666665,23.666666666666668,1.4441749026654687,0.3697214734950584,34.653333333333336,0.6666666666666666,6.666666666666667,65.33333333333333,0.4918414918414918,0.6885594489368074
4,14,26,"regular","True",-7,"Loss","Arkansas_2015",-7.333333333333333,0.6666666666666666,4.666666666666667,7.0,3.3333333333333335,4.0,26.0,1.437508235998802,0.41513149746088107,38.03666666666667,1.0,8.333333333333334,73.66666666666667,0.506993006993007,0.7218927822701406
